fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2708,200901,-6.4407,-1.0813,-3.4929,-5.7975,-4.8527,-6.7014,-13.5043,-1.83,0.54
2708,200902,-7.6087,-10.9575,-11.1441,-13.5068,-7.5364,-13.2729,-18.2081,4.18,-6.79
2708,200903,6.4052,14.2638,12.9001,12.5523,10.3267,9.8386,13.4433,-11.38,3.44
2708,200904,8.7012,21.8018,20.6982,23.4516,17.2873,20.9226,26.4367,-34.39,-6.87
2708,200905,6.8415,8.7174,10.7958,10.0016,6.5674,7.7253,6.5029,-12.44,-2.88
2708,200906,-0.1067,7.6931,3.8677,2.6617,0.4913,-1.4216,-0.2657,5.29,4.91
2708,200907,7.1581,7.4411,8.5555,9.7911,7.2515,9.7239,10.6151,-5.36,4.39
2708,200908,2.991,3.2288,4.3253,10.2798,2.19,3.516,9.9007,-8.84,-2.13
2708,200909,4.0658,7.5842,6.5938,7.561,5.5304,5.8667,6.6815,-4.93,1.25
2708,200910,-1.4884,-7.7268,-6.1563,-7.3195,-3.1238,-3.8532,-6.3809,2.65,2.21
2708,200911,4.2493,0.64,1.174,1.0463,4.9213,4.5054,5.3559,0.29,0.25
2708,200912,1.7836,7.6863,7.2139,6.3473,4.9108,5.7842,5.6917,2.91,1.61
2708,201001,-2.8803,-2.928,-2.0949,3.1156,-3.6486,-3.2048,-2.1702,-5.38,3.65
2708,201002,1.7609,2.8806,3.5898,4.083,4.0639,4.5065,4.3358,3.6,1.8
2708,201003,5.0091,6.5113,7.7965,9.0725,6.8339,7.16,8.1189,3.66,0.77
2708,201004,1.0408,6.0926,6.7287,12.0652,2.816,3.3767,4.6326,3.22,-1.77
2708,201005,-6.6953,-7.447,-7.3047,-9.4502,-6.6319,-7.8925,-7.5703,-0.13,0.58
2708,201006,-3.0359,-6.7167,-7.2241,-9.6505,-4.6627,-6.4131,-8.8706,-3,-4.84
2708,201007,6.5465,5.869,5.9763,4.6438,6.7458,7.6534,6.8046,1.88,4.02
2708,201008,-3.0276,-6.8896,-7.5455,-7.4044,-4.211,-5.3791,-5.3252,-0.19,1.04
2708,201009,7.6217,12.6435,11.9959,8.6621,11.8069,10.9906,9.0037,1.35,3.2
2708,201010,3.0717,5.2679,5.1516,3.4586,3.7771,4.0427,1.6912,1.64,-1.34
2708,201011,-0.5795,1.8986,3.4612,1.3891,3.2153,1.8975,-0.4122,2.53,-0.95
2708,201012,5.133,9.2016,8.5102,8.4832,6.0694,7.6353,9.08,-3.19,2.37
2708,201101,1.4658,-0.2322,0.4636,4.0934,2.0727,2.7388,1.7221,-0.32,-0.02
2708,201102,2.5682,3.5694,4.7778,4.1132,4.2427,4.2768,3.7816,2.03,-1.01
2708,201103,0.2347,1.8932,1.6299,-0.1846,2.0025,2.1339,0.5566,3.51,-0.79
2708,201104,3.0445,1.8325,1.1678,0.1692,3.5928,3.1937,2.0887,0.07,-1
2708,201105,-1.0606,-1.9658,-2.315,-2.5215,-0.3844,-1.4969,-0.7647,-0.56,-1.25
2708,201106,-0.9188,-4.3312,-1.738,-2.3127,-1.6244,-1.9959,-2.102,1.78,-1.03
2708,201107,-1.391,-3.799,-2.3131,-0.9653,-3.3936,-3.2021,-4.339,0.08,-1.13
2708,201108,-5.5643,-10.2853,-10.078,-9.5036,-6.7194,-7.5573,-7.8838,-0.31,-1.35
2708,201109,-7.3859,-12.1905,-11.2599,-9.5193,-9.4598,-11.0493,-9.4613,-2.55,-9.71
2708,201110,9.2294,13.7561,13.4827,8.4397,14.2203,15.5033,13.198,-1.42,12.35
2708,201111,-1.3126,-3.3769,-1.9615,-1.0237,-0.7458,0.5565,-0.1155,3.99,1.19
2708,201112,-0.3661,-0.9049,0.4193,0.8663,-1.6556,0.5767,1.1538,1.94,-1.47
2708,201201,4.9138,10.8188,9.3184,8.831,8.2473,6.3178,4.2567,-7.97,6.64
2708,201202,3.9441,3.8923,2.2916,4.4803,4.4638,4.2519,5.4902,-0.3,-0.41
2708,201203,1.502,2.3218,3.7441,4.3123,2.2222,0.4913,2.5617,1.5,-0.71
2708,201204,-0.6231,-2.6368,-2.3287,-0.267,-1.0164,-0.864,-1.4426,3.83,-0.52
2708,201205,-6.4263,-7.8375,-7.4292,-5.2188,-8.0898,-7.7332,-6.5498,6.6,-3.48
2708,201206,3.3501,4.7406,4.3703,3.5214,2.1126,2.7615,3.7602,-1.12,-0.74
2708,201207,0.8104,-0.5127,-1.2468,-1.6076,-0.5905,0.3498,-0.71,3.07,1.41
2708,201208,2.2508,2.4258,2.5279,2.6243,3.3709,2.91,5.5112,-2.49,3.07
2708,201209,2.4371,4.3279,5.06,3.7432,2.0237,2.3464,3.1204,-1.02,-0.17
2708,201210,-0.6907,-5.0683,-2.2693,-0.5737,-1.73,-0.5774,0.8864,0.1,0.37
2708,201211,1.0819,-0.4188,-0.562,0.566,2.4846,1.4106,1.0674,0.38,0.86
2708,201212,1.8459,1.7507,2.9818,3.0503,2.0377,2.6487,3.3917,-2.97,0.08
2708,201301,3.681,7.1459,6.7384,8.1685,6.4191,6.6676,8.4688,-1.88,-1.38
2708,201302,0.074,0.499,0.2135,1.8189,0.9515,1.4863,2.0995,1.31,-1.07
2708,201303,1.9217,5.2889,3.9638,3.856,4.2363,4.6474,5.2108,1.94,-1.94
2708,201304,1.9579,-0.4039,-0.8954,-0.4443,0.8046,0.5786,1.0034,0.25,-1.21
2708,201305,0.7112,5.2526,5.2707,5.0967,3.2958,2.7595,4.9887,-1.8,1.68
2708,201306,-2.4011,-0.9656,0.4061,0.236,-1.4602,-1.3615,-0.7025,0.59,0.51
2708,201307,4.1245,7.673,7.2135,7.678,6.9584,5.8857,6.9117,1.74,1.95
2708,201308,-1.9458,-1.2556,-2.6962,-1.9114,-1.8703,-2.7318,-3.5617,0.05,-0.67
2708,201309,4.1106,5.9741,6.5232,5.8371,5.4885,4.7051,3.6868,2.97,-0.56
2708,201310,2.9272,0.02,3.1187,3.2235,3.0116,3.9636,5.1406,0.16,-0.18
2708,201311,0.8598,5.5852,5.5032,3.8674,2.7243,1.858,3.2857,0.4,0.73
2708,201312,1.3179,2.5262,3.1473,2.1928,3.2393,3.3141,2.408,0.07,1.27
2769,200901,-5.6351,-1.0813,-3.4929,-5.7975,-4.8527,-6.7014,-13.5043,-1.83,0.54
2769,200902,-7.5911,-10.9575,-11.1441,-13.5068,-7.5364,-13.2729,-18.2081,4.18,-6.79
2769,200903,8.4337,14.2638,12.9001,12.5523,10.3267,9.8386,13.4433,-11.38,3.44
2769,200904,9.3939,21.8018,20.6982,23.4516,17.2873,20.9226,26.4367,-34.39,-6.87
2769,200905,5.6325,8.7174,10.7958,10.0016,6.5674,7.7253,6.5029,-12.44,-2.88
2769,200906,-0.3497,7.6931,3.8677,2.6617,0.4913,-1.4216,-0.2657,5.29,4.91
2769,200907,5.614,7.4411,8.5555,9.7911,7.2515,9.7239,10.6151,-5.36,4.39
2769,200908,1.9103,3.2288,4.3253,10.2798,2.19,3.516,9.9007,-8.84,-2.13
2769,200909,4.238,7.5842,6.5938,7.561,5.5304,5.8667,6.6815,-4.93,1.25
2769,200910,-1.0164,-7.7268,-6.1563,-7.3195,-3.1238,-3.8532,-6.3809,2.65,2.21
2769,200911,6.0032,0.64,1.174,1.0463,4.9213,4.5054,5.3559,0.29,0.25
2769,200912,2.0255,7.6863,7.2139,6.3473,4.9108,5.7842,5.6917,2.91,1.61
2769,201001,-4.0711,-2.928,-2.0949,3.1156,-3.6486,-3.2048,-2.1702,-5.38,3.65
2769,201002,2.5463,2.8806,3.5898,4.083,4.0639,4.5065,4.3358,3.6,1.8
2770,200901,-5.5451,-1.0813,-3.4929,-5.7975,-4.8527,-6.7014,-13.5043,-1.83,0.54
2770,200902,-7.5622,-10.9575,-11.1441,-13.5068,-7.5364,-13.2729,-18.2081,4.18,-6.79
2770,200903,8.3961,14.2638,12.9001,12.5523,10.3267,9.8386,13.4433,-11.38,3.44
2770,200904,9.434,21.8018,20.6982,23.4516,17.2873,20.9226,26.4367,-34.39,-6.87
2770,200905,5.6261,8.7174,10.7958,10.0016,6.5674,7.7253,6.5029,-12.44,-2.88
2770,200906,-0.2577,7.6931,3.8677,2.6617,0.4913,-1.4216,-0.2657,5.29,4.91
2770,200907,5.5986,7.4411,8.5555,9.7911,7.2515,9.7239,10.6151,-5.36,4.39
2770,200908,1.876,3.2288,4.3253,10.2798,2.19,3.516,9.9007,-8.84,-2.13
2770,200909,4.3235,7.5842,6.5938,7.561,5.5304,5.8667,6.6815,-4.93,1.25
2770,200910,-0.9977,-7.7268,-6.1563,-7.3195,-3.1238,-3.8532,-6.3809,2.65,2.21
2770,200911,5.969,0.64,1.174,1.0463,4.9213,4.5054,5.3559,0.29,0.25
2770,200912,2.0709,7.6863,7.2139,6.3473,4.9108,5.7842,5.6917,2.91,1.61
2770,201001,-4.0757,-2.928,-2.0949,3.1156,-3.6486,-3.2048,-2.1702,-5.38,3.65
2770,201002,2.6555,2.8806,3.5898,4.083,4.0639,4.5065,4.3358,3.6,1.8
2772,200901,-5.6202,-1.0813,-3.4929,-5.7975,-4.8527,-6.7014,-13.5043,-1.83,0.54
2772,200902,-7.5975,-10.9575,-11.1441,-13.5068,-7.5364,-13.2729,-18.2081,4.18,-6.79
2772,200903,8.3333,14.2638,12.9001,12.5523,10.3267,9.8386,13.4433,-11.38,3.44
2772,200904,9.4359,21.8018,20.6982,23.4516,17.2873,20.9226,26.4367,-34.39,-6.87
2772,200905,5.5295,8.7174,10.7958,10.0016,6.5674,7.7253,6.5029,-12.44,-2.88
2772,200906,-0.2664,7.6931,3.8677,2.6617,0.4913,-1.4216,-0.2657,5.29,4.91
2772,200907,5.61,7.4411,8.5555,9.7911,7.2515,9.7239,10.6151,-5.36,4.39
2772,200908,1.7707,3.2288,4.3253,10.2798,2.19,3.516,9.9007,-8.84,-2.13
2772,200909,4.3082,7.5842,6.5938,7.561,5.5304,5.8667,6.6815,-4.93,1.25
2772,200910,-1.0326,-7.7268,-6.1563,-7.3195,-3.1238,-3.8532,-6.3809,2.65,2.21
2772,200911,5.939,0.64,1.174,1.0463,4.9213,4.5054,5.3559,0.29,0.25
2772,200912,2.0618,7.6863,7.2139,6.3473,4.9108,5.7842,5.6917,2.91,1.61
2772,201001,-4.2042,-2.928,-2.0949,3.1156,-3.6486,-3.2048,-2.1702,-5.38,3.65
2772,201002,2.5862,2.8806,3.5898,4.083,4.0639,4.5065,4.3358,3.6,1.8
