fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931.0,201401.0,-2.1382,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
3931.0,201402.0,5.3782,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
3931.0,201403.0,-2.4455,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
3931.0,201404.0,-1.1989,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
3931.0,201405.0,3.4197,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
3931.0,201406.0,3.0933,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
3931.0,201407.0,-0.8277,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
3931.0,201408.0,4.5383,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
3931.0,201409.0,-1.6467,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
3931.0,201410.0,1.3191,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0.0,-2.72
3931.0,201411.0,3.355,0.0513,-0.796,-1.278,2.6369,1.7011,-0.7046,1.05,-3.43
3931.0,201412.0,-0.7585,2.2819,3.6142,1.9608,-0.0193,-0.047,0.7699,1.06,-1.06
3931.0,201501.0,-1.3897,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47
3931.0,201502.0,6.5766,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61
3931.0,201503.0,0.1102,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16
3931.0,201504.0,-0.9356,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11
3931.0,201505.0,3.2778,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64
3931.0,201506.0,-1.1296,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51
3931.0,201507.0,2.3939,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2
3931.0,201508.0,-7.1732,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64
3931.0,201509.0,-3.4917,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34
3931.0,201510.0,8.1851,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88
3931.0,201511.0,1.0965,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02
3931.0,201512.0,2.567,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06
3931.0,201601.0,-7.2464,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78
3931.0,201602.0,-2.1484,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74
3931.0,201603.0,6.3872,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52
3931.0,201604.0,-1.2508,3.767,3.1839,5.2438,0.9051,2.4823,6.4891,-6.23,0.16
3931.0,201605.0,2.7232,0.9958,0.6244,-0.7584,2.4096,0.9323,1.2869,1.94,0.14
3931.0,201606.0,-1.7879,-2.3322,-0.7117,1.7359,-0.8664,-0.6354,-3.1743,4.21,1.54
3931.0,201607.0,4.9592,5.8402,6.0885,6.4018,5.084,3.5835,4.6082,-3.06,4.46
3931.0,201608.0,-0.4785,0.9718,2.767,3.4496,0.2997,0.6195,2.1819,-3.11,-0.34
3931.0,201609.0,1.262,4.9983,2.5463,1.8764,-0.1066,0.8081,0.6506,-0.55,0.09
3931.0,201610.0,-2.73,-9.6114,-6.7332,-3.8473,-3.2981,-1.6866,-2.2328,0.65,2.7
3931.0,201611.0,0.061,6.5506,10.2305,11.929,4.4373,7.404,12.2853,-4.22,-0.01
3931.0,201612.0,0.4625,-0.6901,2.565,4.4512,0.6549,1.4397,1.6994,-0.39,-1.05
3931.0,201701.0,5.3342,2.3268,0.5085,1.1191,3.3549,1.8839,1.5333,-0.97,3.39
3931.0,201702.0,3.6088,3.4229,1.6874,0.3129,3.8069,2.1723,2.4413,-1.65,-1.11
3931.0,201703.0,1.6292,1.3505,1.032,0.3507,0.689,-0.1914,-1.4823,-0.88,-0.98
3931.0,201704.0,2.5981,0.9702,0.3093,-0.1253,1.9798,0.7714,-1.7642,0.51,-2.19
3931.0,201705.0,3.1789,-2.4478,-2.9979,-2.8881,1.9433,-0.5916,-2.4836,1.47,-3.59
3931.0,201706.0,-1.0966,6.0265,4.1818,4.027,1.3422,1.6843,2.9574,-0.25,4.01
3931.0,201707.0,3.2207,-1.2602,-0.5901,-0.4316,1.3758,1.3857,2.4558,1.63,2.06
